feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous literary character is Holden Caulfield, literary,5,72.44551849365234,0.5403464206869323,semantic,"[{""token"": "" literary"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,literary,"[{""tk"": ""literary"", ""act"": 76.32134246826172}, {""tk"": ""author"", ""act"": 70.54138946533203}, {""tk"": ""book"", ""act"": 70.21842956542969}, {""tk"": ""character"", ""act"": 65.1411361694336}, {""tk"": ""person"", ""act"": 61.45553207397461}, {""tk"": ""work"", ""act"": 51.588130950927734}, {""tk"": ""Holden"", ""act"": 39.05931091308594}, {""tk"": ""wrote"", ""act"": 34.26546859741211}, {""tk"": ""field"", ""act"": 28.759296417236328}, {""tk"": ""called"", ""act"": 26.018136978149414}, {""tk"": ""inger"", ""act"": 22.45155906677246}, {""tk"": ""Catcher"", ""act"": 21.8970890045166}, {""tk"": ""Caul"", ""act"": 19.843095779418945}, {""tk"": ""J"", ""act"": 0.6599159836769104}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous literary character is Holden Caulfield,:,2,55.24455642700195,0.9,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""in"", ""act"": 44.621429443359375}, {""tk"": ""the"", ""act"": 38.76895523071289}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Holden"", ""act"": 0.0}, {""tk"": ""Caul"", ""act"": 0.0}, {""tk"": ""field"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Catcher"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""inger"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous literary character is Holden Caulfield,:,2,51.97818756103516,0.8118848329305426,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 45.80066680908203}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""in"", ""act"": 35.55699920654297}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Holden"", ""act"": 0.0}, {""tk"": ""Caul"", ""act"": 0.0}, {""tk"": ""field"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Catcher"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""inger"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous literary character is Holden Caulfield, A,3,47.80646514892578,0.8999999999999999,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90499496459961}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Holden"", ""act"": 0.0}, {""tk"": ""Caul"", ""act"": 0.0}, {""tk"": ""field"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Catcher"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""inger"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous literary character is Holden Caulfield, is,7,46.80503463745117,0.8080774529878947,functional,"[{""token"": "" Holden"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""who"", ""act"": 54.23466110229492}, {""tk"": ""is"", ""act"": 49.798423767089844}, {""tk"": ""in"", ""act"": 40.9217529296875}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Holden"", ""act"": 0.0}, {""tk"": ""Caul"", ""act"": 0.0}, {""tk"": ""field"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Catcher"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""inger"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous literary character is Holden Caulfield,:,2,44.86204528808594,0.7642090697222762,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 34.61772918701172}, {""tk"": ""The"", ""act"": 34.374595642089844}, {""tk"": ""J"", ""act"": 32.580726623535156}, {""tk"": ""in"", ""act"": 28.446195602416992}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Holden"", ""act"": 0.0}, {""tk"": ""Caul"", ""act"": 0.0}, {""tk"": ""field"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Catcher"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""inger"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous literary character is Holden Caulfield, is,7,44.15594482421875,0.9,functional,"[{""token"": "" Holden"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 51.42878341674805}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Holden"", ""act"": 0.0}, {""tk"": ""Caul"", ""act"": 0.0}, {""tk"": ""field"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Catcher"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""inger"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_20317,0,20317,entity: A famous literary character is Holden Caulfield, Caul,9,43.2538948059082,0.9,semantic,"[{""token"": "" Caul"", ""index"": 9, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,Caul,"[{""tk"": ""Caul"", ""act"": 43.2538948059082}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Holden"", ""act"": 0.0}, {""tk"": ""field"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Catcher"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""inger"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_50540,0,50540,entity: A famous literary character is Holden Caulfield, Holden,8,42.3862190246582,0.8999999999999999,semantic,"[{""token"": "" Holden"", ""index"": 8, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Holden,"[{""tk"": ""Holden"", ""act"": 42.3862190246582}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Caul"", ""act"": 0.0}, {""tk"": ""field"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Catcher"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""inger"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_5200,0,5200,entity: A famous literary character is Holden Caulfield, is,7,42.3370361328125,0.9,functional,"[{""token"": "" Holden"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 45.590660095214844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Holden"", ""act"": 0.0}, {""tk"": ""Caul"", ""act"": 0.0}, {""tk"": ""field"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Catcher"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""inger"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_4714,0,4714,entity: A famous literary character is Holden Caulfield, Caul,9,26.528270721435547,0.9,semantic,"[{""token"": "" Caul"", ""index"": 9, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,Caul,"[{""tk"": ""Caul"", ""act"": 26.528270721435547}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Holden"", ""act"": 0.0}, {""tk"": ""field"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Catcher"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""J"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""inger"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
