condition,from_slug,to_slug,variant,canonical_hit,tuned_hit,m_tuned,m_phase,m_total_steps,hit_has_artifact,hit_completion
auto_dallas,california_oakland,texas_dallas,add_state,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Oakland is not Dallas.

Fact: The city of Austin,"
auto_dallas,california_oakland,texas_dallas,add_state_capital_city,0,1,1.414213,2.0,7.0,0,"<bos><bos>Fact: The capital of the state containing Oakland is not Dallas.

Fact: The city of Austin,"
auto_dallas,california_oakland,texas_dallas,add_state_city,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Oakland is, San Antonio, and Austin is Austin.

Fact"
auto_dallas,florida_miami,texas_dallas,add_state,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Miami is not Dallas.

Fact: The city of Austin,"
auto_dallas,florida_miami,texas_dallas,add_state_city,1,0,,,,1,"<bos><bos>Fact: The capital of the state containing Miami isⓧ, Texas, is Austin.

The capital of"
auto_dallas,illinois_chicago,texas_dallas,add_state,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Chicago is not Dallas.

Fact: The city of Austin,"
auto_dallas,illinois_chicago,texas_dallas,add_state_capital_city,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Chicago is, Dallas, Houston and San Antonio is Austin."
auto_dallas,illinois_chicago,texas_dallas,add_state_city,1,0,,,,1,"<bos><bos>Fact: The capital of the state containing Chicago isⓧ, Texas, is Austin.

The capital of"
auto_dallas,new_york_new_york_city,texas_dallas,add_state_capital_city,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing New York City is, Dallas, and Austin is <strong>Austin</strong>."
auto_dallas,new_york_new_york_city,texas_dallas,add_state_city,1,0,,,,1,"<bos><bos>Fact: The capital of the state containing New York City isⓧ, Texas, is Austin.

The capital of"
auto_dallas,washington_seattle,texas_dallas,add_state,0,1,4.080572,2.0,7.0,0,"<bos><bos>Fact: The capital of the state containing Seattle is not Seattle.

Fact: The city of Austin,"
auto_dallas,washington_seattle,texas_dallas,add_state_capital,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Seattle is Austin.

Fact: The state of Washington is located"
auto_dallas,washington_seattle,texas_dallas,add_state_capital_city,0,1,6.071531,2.0,9.0,0,"<bos><bos>Fact: The capital of the state containing Seattle is College Station is Austin.

The city of Austin,"
auto_dallas,washington_seattle,texas_dallas,add_state_city,1,0,,,,1,"<bos><bos>Fact: The capital of the state containing Seattle isⓧ, Texas, is Austin.

The capital of"
auto_top100_dallas,california_oakland,texas_dallas,add_state,0,1,0.832553,1.0,3.0,0,"<bos><bos>Fact: The capital of the state containing Oakland is San Antonio.

Fact: The city of Austin has"
auto_top100_dallas,california_oakland,texas_dallas,add_state_capital,0,1,6.931448,1.0,5.0,0,"<bos><bos>Fact: The capital of the state containing Oakland is San Antonio.

Fact: The city of Austin has"
auto_top100_dallas,california_oakland,texas_dallas,add_state_capital_city,0,1,5.318296,2.0,8.0,0,"<bos><bos>Fact: The capital of the state containing Oakland is is Austin.

Fact: The city of Austin has"
auto_top100_dallas,florida_miami,texas_dallas,add_state,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Miami is not Miami.

Fact: The city of Austin,"
auto_top100_dallas,florida_miami,texas_dallas,add_state_capital,0,1,6.931448,1.0,5.0,0,"<bos><bos>Fact: The capital of the state containing Miami is San Antonio.

Fact: The city of Austin has"
auto_top100_dallas,florida_miami,texas_dallas,add_state_city,0,1,6.931448,1.0,5.0,0,"<bos><bos>Fact: The capital of the state containing Miami is, Dallas, Houston and San Antonio is Austin."
auto_top100_dallas,new_york_new_york_city,texas_dallas,add_state,0,1,11.77408,2.0,7.0,0,"<bos><bos>Fact: The capital of the state containing New York City is San Antonio.

Fact: The city of Austin,"
auto_top100_dallas,new_york_new_york_city,texas_dallas,add_state_capital,0,1,6.931448,1.0,5.0,0,"<bos><bos>Fact: The capital of the state containing New York City is San Antonio.

Fact: The city of Austin,"
auto_top100_dallas,washington_seattle,texas_dallas,add_state_capital,0,1,6.931448,1.0,5.0,0,"<bos><bos>Fact: The capital of the state containing Seattle is San Antonio.

Fact: The city of Austin,"
auto_top200_dallas,california_oakland,texas_dallas,add_state,0,1,2.402249,1.0,4.0,0,"<bos><bos>Fact: The capital of the state containing Oakland is Austin.

Fact: The state of Texas is the"
