feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous literary character is Oliver Twist, literary,5,72.44551849365234,0.5424497065072774,semantic,"[{""token"": "" literary"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,literary,"[{""tk"": ""literary"", ""act"": 76.32134246826172}, {""tk"": ""author"", ""act"": 70.5414047241211}, {""tk"": ""book"", ""act"": 70.21842956542969}, {""tk"": ""character"", ""act"": 65.1411361694336}, {""tk"": ""person"", ""act"": 61.45553207397461}, {""tk"": ""work"", ""act"": 51.588130950927734}, {""tk"": ""Charles"", ""act"": 40.40912628173828}, {""tk"": ""Oliver"", ""act"": 40.14522933959961}, {""tk"": ""Dickens"", ""act"": 39.968875885009766}, {""tk"": ""wrote"", ""act"": 34.26546859741211}, {""tk"": ""called"", ""act"": 26.018136978149414}, {""tk"": ""Twist"", ""act"": 18.081872940063477}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous literary character is Oliver Twist,:,2,55.24455642700195,0.8888888888888888,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""the"", ""act"": 38.76895523071289}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Oliver"", ""act"": 0.0}, {""tk"": ""Twist"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Charles"", ""act"": 0.0}, {""tk"": ""Dickens"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous literary character is Oliver Twist,:,2,51.97818756103516,0.7909831477006029,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 45.80066680908203}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Oliver"", ""act"": 0.0}, {""tk"": ""Twist"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Charles"", ""act"": 0.0}, {""tk"": ""Dickens"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_14140,0,14140,entity: A famous literary character is Oliver Twist, Twist,9,47.86514663696289,0.888888888888889,semantic,"[{""token"": "" Twist"", ""index"": 9, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Twist,"[{""tk"": ""Twist"", ""act"": 47.86514663696289}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Oliver"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Charles"", ""act"": 0.0}, {""tk"": ""Dickens"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous literary character is Oliver Twist, A,3,47.80646514892578,0.888888888888889,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90498733520508}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Oliver"", ""act"": 0.0}, {""tk"": ""Twist"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Charles"", ""act"": 0.0}, {""tk"": ""Dickens"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous literary character is Oliver Twist, is,7,46.80503463745117,0.7867527255421053,functional,"[{""token"": "" Oliver"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""is"", ""act"": 49.798423767089844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Oliver"", ""act"": 0.0}, {""tk"": ""Twist"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Charles"", ""act"": 0.0}, {""tk"": ""Dickens"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous literary character is Oliver Twist,:,2,44.86204528808594,0.7380100774691958,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""The"", ""act"": 34.374595642089844}, {""tk"": ""is"", ""act"": 31.7829532623291}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Oliver"", ""act"": 0.0}, {""tk"": ""Twist"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Charles"", ""act"": 0.0}, {""tk"": ""Dickens"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous literary character is Oliver Twist, is,7,44.15594482421875,0.8888888888888888,functional,"[{""token"": "" Oliver"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 49.875572204589844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Oliver"", ""act"": 0.0}, {""tk"": ""Twist"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Charles"", ""act"": 0.0}, {""tk"": ""Dickens"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_5200,0,5200,entity: A famous literary character is Oliver Twist, is,7,42.3370361328125,0.8888888888888888,functional,"[{""token"": "" Oliver"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 46.33308792114258}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Oliver"", ""act"": 0.0}, {""tk"": ""Twist"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Charles"", ""act"": 0.0}, {""tk"": ""Dickens"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_69986,0,69986,entity: A famous literary character is Oliver Twist, Twist,9,37.05170440673828,0.8888888888888888,semantic,"[{""token"": "" Twist"", ""index"": 9, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Twist,"[{""tk"": ""Twist"", ""act"": 37.05170440673828}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Oliver"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Charles"", ""act"": 0.0}, {""tk"": ""Dickens"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_78225,0,78225,entity: A famous literary character is Oliver Twist, Oliver,8,35.539920806884766,0.888888888888889,semantic,"[{""token"": "" Oliver"", ""index"": 8, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,Oliver,"[{""tk"": ""Oliver"", ""act"": 35.539920806884766}, {""tk"": ""Charles"", ""act"": 33.838924407958984}, {""tk"": ""Dickens"", ""act"": 6.7924370765686035}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Twist"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
