feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous literary character is Gregor Samsa, literary,5,72.44551849365234,0.6285696440943728,semantic,"[{""token"": "" literary"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,literary,"[{""tk"": ""literary"", ""act"": 76.32134246826172}, {""tk"": ""author"", ""act"": 70.5414047241211}, {""tk"": ""book"", ""act"": 70.21842956542969}, {""tk"": ""famous"", ""act"": 67.18627166748047}, {""tk"": ""character"", ""act"": 65.1411361694336}, {""tk"": ""person"", ""act"": 61.45553207397461}, {""tk"": ""work"", ""act"": 51.588130950927734}, {""tk"": ""Franz"", ""act"": 39.945980072021484}, {""tk"": ""Kafka"", ""act"": 34.85390090942383}, {""tk"": ""wrote"", ""act"": 34.26546859741211}, {""tk"": ""Meta"", ""act"": 30.33579444885254}, {""tk"": ""called"", ""act"": 26.018136978149414}, {""tk"": ""Gregor"", ""act"": 18.7772216796875}, {""tk"": ""morphosis"", ""act"": 13.68248462677002}, {""tk"": ""Sams"", ""act"": 4.970709800720215}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous literary character is Gregor Samsa,:,2,55.24455642700195,0.9,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""a"", ""act"": 39.102386474609375}, {""tk"": ""the"", ""act"": 38.76895523071289}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Gregor"", ""act"": 0.0}, {""tk"": ""Sams"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Meta"", ""act"": 0.0}, {""tk"": ""morphosis"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Franz"", ""act"": 0.0}, {""tk"": ""Kafka"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous literary character is Gregor Samsa,:,2,51.97818756103516,0.8118848329305426,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""a"", ""act"": 47.6859016418457}, {""tk"": ""is"", ""act"": 45.80066680908203}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Gregor"", ""act"": 0.0}, {""tk"": ""Sams"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Meta"", ""act"": 0.0}, {""tk"": ""morphosis"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Franz"", ""act"": 0.0}, {""tk"": ""Kafka"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_87254,0,87254,entity: A famous literary character is Gregor Samsa,a,10,51.89919662475586,0.8999999999999999,functional,[],json,Semantic,Dictionary (fallback),0.9,False,,a,"[{""tk"": ""a"", ""act"": 106.07782745361328}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Gregor"", ""act"": 0.0}, {""tk"": ""Sams"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Meta"", ""act"": 0.0}, {""tk"": ""morphosis"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Franz"", ""act"": 0.0}, {""tk"": ""Kafka"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_50396,0,50396,entity: A famous literary character is Gregor Samsa, Sams,9,47.8545150756836,0.9,semantic,"[{""token"": "" Sams"", ""index"": 9, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,Sams,"[{""tk"": ""Sams"", ""act"": 47.854515075683594}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Gregor"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Meta"", ""act"": 0.0}, {""tk"": ""morphosis"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Franz"", ""act"": 0.0}, {""tk"": ""Kafka"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous literary character is Gregor Samsa, A,3,47.80646514892578,0.8999999999999999,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90498733520508}, {""tk"": ""A"", ""act"": 47.80646514892578}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Gregor"", ""act"": 0.0}, {""tk"": ""Sams"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Meta"", ""act"": 0.0}, {""tk"": ""morphosis"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Franz"", ""act"": 0.0}, {""tk"": ""Kafka"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous literary character is Gregor Samsa, is,7,46.80503463745117,0.8080774529878947,functional,"[{""token"": "" Gregor"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""a"", ""act"": 50.193748474121094}, {""tk"": ""is"", ""act"": 49.798423767089844}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Gregor"", ""act"": 0.0}, {""tk"": ""Sams"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Meta"", ""act"": 0.0}, {""tk"": ""morphosis"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Franz"", ""act"": 0.0}, {""tk"": ""Kafka"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous literary character is Gregor Samsa,:,2,44.86204528808594,0.7642090697222762,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""The"", ""act"": 34.374595642089844}, {""tk"": ""is"", ""act"": 32.70335388183594}, {""tk"": ""A"", ""act"": 32.37895202636719}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Gregor"", ""act"": 0.0}, {""tk"": ""Sams"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Meta"", ""act"": 0.0}, {""tk"": ""morphosis"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Franz"", ""act"": 0.0}, {""tk"": ""Kafka"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous literary character is Gregor Samsa, is,7,44.15594482421875,0.9,functional,"[{""token"": "" Gregor"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 49.875572204589844}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Gregor"", ""act"": 0.0}, {""tk"": ""Sams"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Meta"", ""act"": 0.0}, {""tk"": ""morphosis"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Franz"", ""act"": 0.0}, {""tk"": ""Kafka"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_5200,0,5200,entity: A famous literary character is Gregor Samsa, is,7,42.3370361328125,0.9,functional,"[{""token"": "" Gregor"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 45.590660095214844}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""famous"", ""act"": 0.0}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Gregor"", ""act"": 0.0}, {""tk"": ""Sams"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Meta"", ""act"": 0.0}, {""tk"": ""morphosis"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Franz"", ""act"": 0.0}, {""tk"": ""Kafka"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
