dataset,entity,feature_key,layer,feature,peak_consistency_main,n_distinct_peaks,main_peak_token,func_vs_sem_pct,conf_F,conf_S,share_F,sparsity_median,K_sem_distinct,n_active_prompts,n_prompts,pred_label,subtype,review,role,content,legibility,feature_id,dump_path,png_name,rendered
book_characters_authors_batch,emma_bovary,0_76024,0,76024,0.5,4,literary,-100.0,0.0,1.0,0.0,0.7985692483585365,5,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.75,0-clt-hp:76024,output/book_characters_authors_batch/emma_bovary/01 Prompt Probing/activations_dump.json,SemDict-fallback__book_characters_authors_batch__emma_bovary__L00_F76024.png,True
book_characters_authors_batch,gregor_samsa,0_76024,0,76024,0.5,3,literary,-100.0,0.0,1.0,0.0,0.8150153801104324,5,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.6,0-clt-hp:76024,output/book_characters_authors_batch/gregor_samsa/01 Prompt Probing/activations_dump.json,SemDict-fallback__book_characters_authors_batch__gregor_samsa__L00_F76024.png,True
book_characters_authors_batch,raskolnikov,0_76024,0,76024,0.5,3,literary,-100.0,0.0,1.0,0.0,0.8150153801104324,5,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.6,0-clt-hp:76024,output/book_characters_authors_batch/raskolnikov/01 Prompt Probing/activations_dump.json,SemDict-fallback__book_characters_authors_batch__raskolnikov__L00_F76024.png,True
paintings_painters_batch,guernica,0_76024,0,76024,0.6666666666666666,4,painter,-100.0,0.0,1.0,0.0,0.831820450998903,4,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.8,0-clt-hp:76024,output/paintings_painters_batch/guernica/01 Prompt Probing/activations_dump.json,SemDict-fallback__paintings_painters_batch__guernica__L00_F76024.png,True
paintings_painters_batch,nighthawks,0_95475,0,95475,0.6666666666666666,4,painter,-100.0,0.0,1.0,0.0,0.6398666343163828,4,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.8,0-clt-hp:95475,output/paintings_painters_batch/nighthawks/01 Prompt Probing/activations_dump.json,SemDict-fallback__paintings_painters_batch__nighthawks__L00_F95475.png,True
paintings_painters_batch,nighthawks,0_76024,0,76024,0.6666666666666666,4,painter,-100.0,0.0,1.0,0.0,0.8624173521669025,4,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.8,0-clt-hp:76024,output/paintings_painters_batch/nighthawks/01 Prompt Probing/activations_dump.json,SemDict-fallback__paintings_painters_batch__nighthawks__L00_F76024.png,True
products_founders_batch,nike_shoes,3_66599,3,66599,0.6666666666666666,3,nike,-100.0,0.0,1.0,0.0,0.5945113050190882,4,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.65,3-clt-hp:66599,output/products_founders_batch/nike_shoes/01 Prompt Probing/activations_dump.json,SemDict-fallback__products_founders_batch__nike_shoes__L03_F66599.png,True
products_founders_batch,alibaba,3_66599,3,66599,0.6666666666666666,3,alibaba,-100.0,0.0,1.0,0.0,0.5638339058840807,4,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.65,3-clt-hp:66599,output/products_founders_batch/alibaba/01 Prompt Probing/activations_dump.json,SemDict-fallback__products_founders_batch__alibaba__L03_F66599.png,True
products_founders_batch,oracle_db,3_66599,3,66599,0.6666666666666666,3,oracle,-100.0,0.0,1.0,0.0,0.513411458926092,4,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.65,3-clt-hp:66599,output/products_founders_batch/oracle_db/01 Prompt Probing/activations_dump.json,SemDict-fallback__products_founders_batch__oracle_db__L03_F66599.png,True
usa_states_batch,missouri_kansas_city,0_95475,0,95475,0.6666666666666666,4,missouri,-100.0,0.0,1.0,0.0,0.6355293137567347,4,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.8,0-clt-hp:95475,output/usa_states_batch/missouri_kansas_city/01 Prompt Probing/activations_dump.json,SemDict-fallback__usa_states_batch__missouri_kansas_city__L00_F95475.png,True
usa_states_batch,massachusetts_Worcester,0_95475,0,95475,0.6666666666666666,4,massachusetts,-100.0,0.0,1.0,0.0,0.6299787301174619,4,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.8,0-clt-hp:95475,output/usa_states_batch/massachusetts_Worcester/01 Prompt Probing/activations_dump.json,SemDict-fallback__usa_states_batch__massachusetts_Worcester__L00_F95475.png,True
usa_states_batch,arizona_Tucson,3_66599,3,66599,0.6666666666666666,3,arizona,-100.0,0.0,1.0,0.0,0.6034355587619329,4,5,5,Semantic,Dictionary (fallback),False,SemDict-fallback,True,2.65,3-clt-hp:66599,output/usa_states_batch/arizona_Tucson/01 Prompt Probing/activations_dump.json,SemDict-fallback__usa_states_batch__arizona_Tucson__L03_F66599.png,True
