feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous literary character is Edmond Dantes, literary,5,72.44551849365234,0.5793553255151687,semantic,"[{""token"": "" literary"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,literary,"[{""tk"": ""literary"", ""act"": 76.32134246826172}, {""tk"": ""author"", ""act"": 70.5414047241211}, {""tk"": ""book"", ""act"": 70.21842956542969}, {""tk"": ""person"", ""act"": 61.45553207397461}, {""tk"": ""work"", ""act"": 51.588130950927734}, {""tk"": ""Alexandre"", ""act"": 49.581241607666016}, {""tk"": ""Monte"", ""act"": 39.5517692565918}, {""tk"": ""Cristo"", ""act"": 38.42918014526367}, {""tk"": ""Dumas"", ""act"": 36.90935134887695}, {""tk"": ""Edmond"", ""act"": 34.67613220214844}, {""tk"": ""wrote"", ""act"": 34.26546859741211}, {""tk"": ""called"", ""act"": 26.018136978149414}, {""tk"": ""Count"", ""act"": 23.296833038330078}, {""tk"": ""antes"", ""act"": 21.316747665405273}, {""tk"": ""D"", ""act"": 3.4086198806762695}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}]"
0_76081,0,76081,entity: A famous literary character is Edmond Dantes, D,9,56.63291931152344,0.8440731026176783,functional,"[{""token"": ""antes"", ""index"": 10, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,D,"[{""tk"": ""D"", ""act"": 56.63291931152344}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Edmond"", ""act"": 0.0}, {""tk"": ""antes"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Count"", ""act"": 0.0}, {""tk"": ""Monte"", ""act"": 0.0}, {""tk"": ""Cristo"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Alexandre"", ""act"": 0.0}, {""tk"": ""Dumas"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous literary character is Edmond Dantes,:,2,55.24455642700195,0.9,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""the"", ""act"": 38.76895523071289}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Edmond"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""antes"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Count"", ""act"": 0.0}, {""tk"": ""Monte"", ""act"": 0.0}, {""tk"": ""Cristo"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Alexandre"", ""act"": 0.0}, {""tk"": ""Dumas"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous literary character is Edmond Dantes,:,2,51.97818756103516,0.8118848329305426,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 45.80066680908203}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""Edmond"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""antes"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Count"", ""act"": 0.0}, {""tk"": ""Monte"", ""act"": 0.0}, {""tk"": ""Cristo"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Alexandre"", ""act"": 0.0}, {""tk"": ""Dumas"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous literary character is Edmond Dantes, A,3,47.80646514892578,0.8999999999999999,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90498733520508}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Edmond"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""antes"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Count"", ""act"": 0.0}, {""tk"": ""Monte"", ""act"": 0.0}, {""tk"": ""Cristo"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Alexandre"", ""act"": 0.0}, {""tk"": ""Dumas"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous literary character is Edmond Dantes, is,7,46.80503463745117,0.8080774529878947,functional,"[{""token"": "" Edmond"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""who"", ""act"": 54.23466110229492}, {""tk"": ""is"", ""act"": 49.798423767089844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""Edmond"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""antes"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Count"", ""act"": 0.0}, {""tk"": ""Monte"", ""act"": 0.0}, {""tk"": ""Cristo"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Alexandre"", ""act"": 0.0}, {""tk"": ""Dumas"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous literary character is Edmond Dantes,:,2,44.86204528808594,0.7007502519490123,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""The"", ""act"": 34.374595642089844}, {""tk"": ""is"", ""act"": 30.326189041137695}, {""tk"": ""D"", ""act"": 28.468923568725586}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""Edmond"", ""act"": 0.0}, {""tk"": ""antes"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Count"", ""act"": 0.0}, {""tk"": ""Monte"", ""act"": 0.0}, {""tk"": ""Cristo"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Alexandre"", ""act"": 0.0}, {""tk"": ""Dumas"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_54407,0,54407,entity: A famous literary character is Edmond Dantes, D,9,44.63892364501953,0.8147084566118142,functional,"[{""token"": ""antes"", ""index"": 10, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,D,"[{""tk"": ""D"", ""act"": 44.63892364501953}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Edmond"", ""act"": 0.0}, {""tk"": ""antes"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Count"", ""act"": 0.0}, {""tk"": ""Monte"", ""act"": 0.0}, {""tk"": ""Cristo"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Alexandre"", ""act"": 0.0}, {""tk"": ""Dumas"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous literary character is Edmond Dantes, is,7,44.15594482421875,0.9,functional,"[{""token"": "" Edmond"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 49.875572204589844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""Edmond"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""antes"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Count"", ""act"": 0.0}, {""tk"": ""Monte"", ""act"": 0.0}, {""tk"": ""Cristo"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Alexandre"", ""act"": 0.0}, {""tk"": ""Dumas"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_5200,0,5200,entity: A famous literary character is Edmond Dantes, is,7,42.3370361328125,0.9,functional,"[{""token"": "" Edmond"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 45.590660095214844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""Edmond"", ""act"": 0.0}, {""tk"": ""D"", ""act"": 0.0}, {""tk"": ""antes"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""Count"", ""act"": 0.0}, {""tk"": ""Monte"", ""act"": 0.0}, {""tk"": ""Cristo"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Alexandre"", ""act"": 0.0}, {""tk"": ""Dumas"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
