layer,feature,ctx_idx,human_supernode,is_supernode_member,human_clerp,our_supernodes_any_ctx,our_peak_token_idxs,our_subtypes_any_ctx,our_supernode_at_human_ctx,our_subtype_at_human_ctx
15,4494,4,capital,True,,capital,1|4|17,Dictionary,capital,Dictionary
6,4662,4,capital,True,,capital,1|5|8|17,Concept,,
4,7671,4,capital,True,,located,1|6|10,Ambiguous,,
3,13984,4,capital,True,,capital,1|4|17,Dictionary,capital,Dictionary
1,1000,4,capital,True,,capital,1|4|17,Dictionary,capital,Dictionary
6,4012,7,state,True,,state,4|7|10|14,Concept,state,Concept
0,13727,7,state,True,,state,1|4|13|14,Dictionary (fallback),,
20,15589,9,Texas,True,,Texas,1|7|8|10,Concept,,
19,7477,9,Texas,True,,Dallas,1|8|11,Concept,,
16,25,9,Texas,True,,Texas,1|7|10,Dictionary,,
4,13154,9,Texas,True,,Texas,1|7|10,Dictionary,,
14,2268,9,Texas,True,,Texas,1|7|10,Dictionary,,
7,6861,9,Texas,True,,Texas,1|7|10,Dictionary,,
19,1445,10,preposition followed by place name,True,,Say (Austin),1|8,,,
18,6101,10,preposition followed by place name,True,,Say (Austin),1|8,,,
21,5943,10,capital cities/say a capital city,True,,containing,1|8|14|15,Ambiguous,,
17,7178,10,capital cities/say a capital city,True,,Say (Austin),1|8|16,,,
7,691,10,capital cities/say a capital city,True,,seat,1|6|8|9,Concept,,
16,4298,10,capital cities/say a capital city,True,,Say (capital),1|8|16,,,
20,15589,10,(standalone),False,,Texas,1|7|8|10,Concept,Texas,Concept
23,12237,10,(standalone),False,,Texas,1|8|10|15,Ambiguous,Texas,Ambiguous
18,8959,10,(standalone),False,,Say (capital),1|8|9|16,,,
