feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio
0_26795,0,26795,"entity: A major city in newyork, USA is Buffalo",<bos>,0,1.0938448905944824,0.9230769230769231
11_84243,11,84243,"entity: A major city in newyork, USA is Buffalo",<bos>,0,0.0,0.0
0_26795,0,26795,entity: The capital city of newyork is Albany,<bos>,0,1.0938448905944824,0.9090909090909091
11_84243,11,84243,entity: The capital city of newyork is Albany,<bos>,0,0.0,0.0
0_26795,0,26795,entity: A state in the United States is newyork,<bos>,0,1.0938448905944824,0.9166666666666666
11_84243,11,84243,entity: A state in the United States is newyork,<bos>,0,0.0,0.0
0_26795,0,26795,attribute: The primary city serving as the seat of government for a state is the capital city,<bos>,0,1.0938458442687988,0.9473684210526316
11_84243,11,84243,attribute: The primary city serving as the seat of government for a state is the capital city,<bos>,0,0.0,0.0
0_26795,0,26795,relationship: the state in which a city is located is the state containing,<bos>,0,1.0938448905944824,0.9333333333333333
11_84243,11,84243,relationship: the state in which a city is located is the state containing,<bos>,0,0.0,0.0
