feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous literary character is Winston Smith, literary,5,72.44551849365234,0.5123586021803761,semantic,"[{""token"": "" literary"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,literary,"[{""tk"": ""literary"", ""act"": 76.32134246826172}, {""tk"": ""author"", ""act"": 70.5414047241211}, {""tk"": ""book"", ""act"": 70.21842956542969}, {""tk"": ""character"", ""act"": 65.1411361694336}, {""tk"": ""person"", ""act"": 61.45553207397461}, {""tk"": ""work"", ""act"": 51.588130950927734}, {""tk"": ""Smith"", ""act"": 45.23733139038086}, {""tk"": ""George"", ""act"": 42.172916412353516}, {""tk"": ""wrote"", ""act"": 34.26546859741211}, {""tk"": ""Orwell"", ""act"": 32.3394775390625}, {""tk"": ""Winston"", ""act"": 27.37285804748535}, {""tk"": ""called"", ""act"": 26.018136978149414}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""8"", ""act"": 0.0}, {""tk"": ""4"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous literary character is Winston Smith,:,2,55.24455642700195,0.8888888888888888,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,Semantic (unknown),"[{""tk"": ""8"", ""act"": 51.11260986328125}, {""tk"": ""4"", ""act"": 47.80103302001953}, {""tk"": ""the"", ""act"": 38.76895523071289}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Winston"", ""act"": 0.0}, {""tk"": ""Smith"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""George"", ""act"": 0.0}, {""tk"": ""Orwell"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous literary character is Winston Smith,:,2,51.97818756103516,0.7909831477006029,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,Semantic (unknown),"[{""tk"": ""is"", ""act"": 45.80066680908203}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""4"", ""act"": 34.213890075683594}, {""tk"": ""8"", ""act"": 32.14632797241211}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Winston"", ""act"": 0.0}, {""tk"": ""Smith"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""George"", ""act"": 0.0}, {""tk"": ""Orwell"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_94597,0,94597,entity: A famous literary character is Winston Smith, Smith,9,51.291534423828125,0.888888888888889,semantic,"[{""token"": "" Smith"", ""index"": 9, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary,1.0,False,,Smith,"[{""tk"": ""Smith"", ""act"": 51.291534423828125}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Winston"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""8"", ""act"": 0.0}, {""tk"": ""4"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""George"", ""act"": 0.0}, {""tk"": ""Orwell"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous literary character is Winston Smith, A,3,47.80646514892578,0.888888888888889,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90498733520508}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Winston"", ""act"": 0.0}, {""tk"": ""Smith"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""8"", ""act"": 0.0}, {""tk"": ""4"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""George"", ""act"": 0.0}, {""tk"": ""Orwell"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous literary character is Winston Smith, is,7,46.80503463745117,0.7867527255421053,functional,"[{""token"": "" Winston"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""is"", ""act"": 51.81144714355469}, {""tk"": ""8"", ""act"": 26.079614639282227}, {""tk"": ""4"", ""act"": 24.9405460357666}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Winston"", ""act"": 0.0}, {""tk"": ""Smith"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""George"", ""act"": 0.0}, {""tk"": ""Orwell"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous literary character is Winston Smith,:,2,44.86204528808594,0.7380100774691958,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""The"", ""act"": 34.374595642089844}, {""tk"": ""is"", ""act"": 28.539636611938477}, {""tk"": ""8"", ""act"": 27.2315731048584}, {""tk"": ""4"", ""act"": 21.660539627075195}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Winston"", ""act"": 0.0}, {""tk"": ""Smith"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""George"", ""act"": 0.0}, {""tk"": ""Orwell"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous literary character is Winston Smith, is,7,44.15594482421875,0.8888888888888888,functional,"[{""token"": "" Winston"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 49.875572204589844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Winston"", ""act"": 0.0}, {""tk"": ""Smith"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""8"", ""act"": 0.0}, {""tk"": ""4"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""George"", ""act"": 0.0}, {""tk"": ""Orwell"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_5200,0,5200,entity: A famous literary character is Winston Smith, is,7,42.3370361328125,0.8888888888888888,functional,"[{""token"": "" Winston"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 45.590660095214844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Winston"", ""act"": 0.0}, {""tk"": ""Smith"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""8"", ""act"": 0.0}, {""tk"": ""4"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""George"", ""act"": 0.0}, {""tk"": ""Orwell"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_78225,0,78225,entity: A famous literary character is Winston Smith, Winston,8,33.07118606567383,0.888888888888889,semantic,"[{""token"": "" Winston"", ""index"": 8, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,George,"[{""tk"": ""George"", ""act"": 39.81415939331055}, {""tk"": ""Winston"", ""act"": 33.07118606567383}, {""tk"": ""Orwell"", ""act"": 4.9351725578308105}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Smith"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""8"", ""act"": 0.0}, {""tk"": ""4"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
