feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous literary character is Jean Valjean, literary,5,72.44551849365234,0.5325056981780679,semantic,"[{""token"": "" literary"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,literary,"[{""tk"": ""literary"", ""act"": 76.32134246826172}, {""tk"": ""author"", ""act"": 70.5414047241211}, {""tk"": ""book"", ""act"": 70.21842956542969}, {""tk"": ""character"", ""act"": 65.1411361694336}, {""tk"": ""person"", ""act"": 61.45553207397461}, {""tk"": ""work"", ""act"": 51.588130950927734}, {""tk"": ""Jean"", ""act"": 44.267704010009766}, {""tk"": ""Victor"", ""act"": 34.693729400634766}, {""tk"": ""wrote"", ""act"": 34.26546859741211}, {""tk"": ""Val"", ""act"": 30.411413192749023}, {""tk"": ""Hugo"", ""act"": 27.287965774536133}, {""tk"": ""ables"", ""act"": 23.21280860900879}, {""tk"": ""Miser"", ""act"": 13.030549049377441}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous literary character is Jean Valjean,:,2,55.24455642700195,0.9,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""the"", ""act"": 38.76895523071289}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Jean"", ""act"": 0.0}, {""tk"": ""Val"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Miser"", ""act"": 0.0}, {""tk"": ""ables"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Victor"", ""act"": 0.0}, {""tk"": ""Hugo"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous literary character is Jean Valjean,:,2,51.97818756103516,0.8118848329305426,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 45.80066680908203}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Jean"", ""act"": 0.0}, {""tk"": ""Val"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Miser"", ""act"": 0.0}, {""tk"": ""ables"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Victor"", ""act"": 0.0}, {""tk"": ""Hugo"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous literary character is Jean Valjean, A,3,47.80646514892578,0.8999999999999999,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90498733520508}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Jean"", ""act"": 0.0}, {""tk"": ""Val"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Miser"", ""act"": 0.0}, {""tk"": ""ables"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Victor"", ""act"": 0.0}, {""tk"": ""Hugo"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous literary character is Jean Valjean, is,7,46.80503463745117,0.8080774529878947,functional,"[{""token"": "" Jean"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""is"", ""act"": 49.798423767089844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Jean"", ""act"": 0.0}, {""tk"": ""Val"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Miser"", ""act"": 0.0}, {""tk"": ""ables"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Victor"", ""act"": 0.0}, {""tk"": ""Hugo"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous literary character is Jean Valjean,:,2,44.86204528808594,0.7642090697222762,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""The"", ""act"": 34.374595642089844}, {""tk"": ""is"", ""act"": 32.25144958496094}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Jean"", ""act"": 0.0}, {""tk"": ""Val"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Miser"", ""act"": 0.0}, {""tk"": ""ables"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Victor"", ""act"": 0.0}, {""tk"": ""Hugo"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous literary character is Jean Valjean, is,7,44.15594482421875,0.9,functional,"[{""token"": "" Jean"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 49.875572204589844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Jean"", ""act"": 0.0}, {""tk"": ""Val"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Miser"", ""act"": 0.0}, {""tk"": ""ables"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Victor"", ""act"": 0.0}, {""tk"": ""Hugo"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_5200,0,5200,entity: A famous literary character is Jean Valjean, is,7,42.3370361328125,0.9,functional,"[{""token"": "" Jean"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 45.590660095214844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Jean"", ""act"": 0.0}, {""tk"": ""Val"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Miser"", ""act"": 0.0}, {""tk"": ""ables"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Victor"", ""act"": 0.0}, {""tk"": ""Hugo"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_2955,0,2955,entity: A famous literary character is Jean Valjean, Val,9,29.49800491333008,0.9,functional,"[{""token"": ""jean"", ""index"": 10, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,Val,"[{""tk"": ""Val"", ""act"": 29.498004913330078}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Jean"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Miser"", ""act"": 0.0}, {""tk"": ""ables"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Victor"", ""act"": 0.0}, {""tk"": ""Hugo"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_27911,0,27911,entity: A famous literary character is Jean Valjean, Val,9,26.797208786010746,0.9,functional,"[{""token"": ""jean"", ""index"": 10, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,Val,"[{""tk"": ""Val"", ""act"": 26.797208786010742}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Jean"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Miser"", ""act"": 0.0}, {""tk"": ""ables"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Victor"", ""act"": 0.0}, {""tk"": ""Hugo"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
