swap_id,from_slug,from_state,from_capital,to_slug,to_state,to_capital,tier,tier_name,cities_found,notes,steered_output
arizona_tucson__to__california_oakland,arizona_tucson,Arizona,Phoenix,california_oakland,California,Sacramento,1,SOURCE_PERSISTS,Tucson,"The output mentions Tucson, which is a city in Arizona, indicating that the source state information persists.","<bos><bos>The capital of the state containing Tucson is’s population is 150,00"
arizona_tucson__to__colorado_colorado_springs,arizona_tucson,Arizona,Phoenix,colorado_colorado_springs,Colorado,Denver,1,SOURCE_PERSISTS,"Tucson, Arizona","The output mentions Tucson and Arizona, which are both from the source state.","<bos><bos>The capital of the state containing Tucson is Springs, Arizona, is Tucson. The city is located"
arizona_tucson__to__florida_miami,arizona_tucson,Arizona,Phoenix,florida_miami,Florida,Tallahassee,0,WRONG_STATE,Keyser,"The output mentions Keyser, which is a city in West Virginia, thus referencing a third state instead of the target state Florida.","<bos><bos>The capital of the state containing Tucson is Keyser, the capital of the state of West Virginia"
arizona_tucson__to__georgia_savannah,arizona_tucson,Arizona,Phoenix,georgia_savannah,Georgia,Atlanta,1,SOURCE_PERSISTS,"Phoenix, Arizona, Tucson","The output still contains references to Arizona and its cities, specifically Phoenix and Tucson, indicating that the source state information persists.","<bos><bos>The capital of the state containing Tucson is's largest city, Phoenix, Arizona is the second"
arizona_tucson__to__michigan_detroit,arizona_tucson,Arizona,Phoenix,michigan_detroit,Michigan,Lansing,1,SOURCE_PERSISTS,Tucson,"The output mentions Tucson, which is a city in Arizona, indicating that source information is still present.","<bos><bos>The capital of the state containing Tucson is’s largest city, Lansing is a great place to"
arizona_tucson__to__montana_billings,arizona_tucson,Arizona,Phoenix,montana_billings,Montana,Helena,2,SUPPRESSED_ONLY,,"The output does not mention any specific city or place from Arizona or Montana, and the content is garbled.","<bos><bos>The capital of the state containing Tucson is Hi-Line, Montana, is Billings.

The"
arizona_tucson__to__nevada_las_vegas,arizona_tucson,Arizona,Phoenix,nevada_las_vegas,Nevada,Carson City,4,TARGET_STATE_CITY,Las Vegas,"The output mentions Las Vegas, which is a city in Nevada, but does not mention the capital Carson City.","<bos><bos>The capital of the state containing Tucson isщs largest city, Las Vegas, is located in"
arizona_tucson__to__ohio_cleveland,arizona_tucson,Arizona,Phoenix,ohio_cleveland,Ohio,Columbus,1,SOURCE_PERSISTS,Tucson,"The output mentions Tucson, which is a city in Arizona, indicating that source information persists.","<bos><bos>The capital of the state containing Tucson is’s largest city, Columbus was founded in 1"
arizona_tucson__to__oregon_portland,arizona_tucson,Arizona,Phoenix,oregon_portland,Oregon,Salem,1,SOURCE_PERSISTS,Tucson,"The output mentions Tucson, which is a city in Arizona, indicating that the source information persists.","<bos><bos>The capital of the state containing Tucson is’s population is 150,00"
arizona_tucson__to__texas_dallas,arizona_tucson,Arizona,Phoenix,texas_dallas,Texas,Austin,4,TARGET_STATE_CITY,San Antonio,"The output mentions San Antonio, which is a city in Texas, but does not mention the target capital, Austin.","<bos><bos>The capital of the state containing Tucson is County, Texas, is San Antonio.

The city"
california_oakland__to__arizona_tucson,california_oakland,California,Sacramento,arizona_tucson,Arizona,Phoenix,1,SOURCE_PERSISTS,Oakland,"The output mentions Oakland, which is a city in California, indicating that the source information persists.","<bos><bos>The capital of the state containing Oakland is’s largest city, Phoenix is a great place to"
california_oakland__to__colorado_colorado_springs,california_oakland,California,Sacramento,colorado_colorado_springs,Colorado,Denver,5,PERFECT,Denver,The output correctly identifies the capital of Colorado as Denver.,"<bos><bos>The capital of the state containing Oakland is Springs, the city of <strong>Denver</strong> is located"
california_oakland__to__florida_miami,california_oakland,California,Sacramento,florida_miami,Florida,Tallahassee,4,TARGET_STATE_CITY,Keys,"The output mentions 'Keys', which is a place in Florida, but does not mention the capital Tallahassee directly.","<bos><bos>The capital of the state containing Oakland is Keys, Florida, is Tallahassee.

The capital of"
california_oakland__to__georgia_savannah,california_oakland,California,Sacramento,georgia_savannah,Georgia,Atlanta,1,SOURCE_PERSISTS,"Oakland, San Francisco","The output contains references to cities in California (Oakland and San Francisco), indicating that the source state information persists.","<bos><bos>The capital of the state containing Oakland is's largest city, San Francisco is a great place"
california_oakland__to__michigan_detroit,california_oakland,California,Sacramento,michigan_detroit,Michigan,Lansing,4,TARGET_STATE_CITY,Detroit,"The output mentions Detroit, which is a city in Michigan, but does not mention the capital, Lansing.","<bos><bos>The capital of the state containing Oakland is’s largest city, Detroit, is a great place"
