feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_95475,0,95475,entity: A famous literary character is Emma Bovary, literary,5,72.44551849365234,0.5672588830549459,semantic,"[{""token"": "" literary"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,literary,"[{""tk"": ""literary"", ""act"": 76.32134246826172}, {""tk"": ""author"", ""act"": 70.5414047241211}, {""tk"": ""book"", ""act"": 70.21842956542969}, {""tk"": ""character"", ""act"": 65.1411361694336}, {""tk"": ""person"", ""act"": 61.45553207397461}, {""tk"": ""work"", ""act"": 51.588130950927734}, {""tk"": ""ubert"", ""act"": 43.841854095458984}, {""tk"": ""Emma"", ""act"": 39.084903717041016}, {""tk"": ""Madame"", ""act"": 34.67555618286133}, {""tk"": ""wrote"", ""act"": 34.26546859741211}, {""tk"": ""Gustave"", ""act"": 33.34432601928711}, {""tk"": ""Fla"", ""act"": 31.75727653503418}, {""tk"": ""called"", ""act"": 26.018136978149414}, {""tk"": ""Bo"", ""act"": 20.72548484802246}, {""tk"": ""vary"", ""act"": 16.655508041381836}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}]"
0_39122,0,39122,entity: A famous literary character is Emma Bovary,:,2,55.24455642700195,0.9,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""the"", ""act"": 38.76895523071289}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""vary"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_18753,0,18753,entity: A famous literary character is Emma Bovary,:,2,51.97818756103516,0.8118848329305426,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""is"", ""act"": 45.80066680908203}, {""tk"": ""the"", ""act"": 45.0550422668457}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""vary"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_54198,0,54198,entity: A famous literary character is Emma Bovary, A,3,47.80646514892578,0.8999999999999999,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 58.90498733520508}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""vary"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_40780,0,40780,entity: A famous literary character is Emma Bovary, is,7,46.80503463745117,0.8080774529878947,functional,"[{""token"": "" Emma"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,the,"[{""tk"": ""the"", ""act"": 57.46990203857422}, {""tk"": ""who"", ""act"": 54.23466110229492}, {""tk"": ""is"", ""act"": 49.798423767089844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""vary"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_18461,0,18461,entity: A famous literary character is Emma Bovary,vary,10,45.337100982666016,0.9,semantic,"[{""token"": ""vary"", ""index"": 10, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,vary,"[{""tk"": ""vary"", ""act"": 45.474082946777344}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_95057,0,95057,entity: A famous literary character is Emma Bovary,:,2,44.86204528808594,0.7642090697222762,functional,"[{""token"": "" famous"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""The"", ""act"": 34.374595642089844}, {""tk"": ""is"", ""act"": 34.033416748046875}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""vary"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_49560,0,49560,entity: A famous literary character is Emma Bovary, is,7,44.15594482421875,0.9,functional,"[{""token"": "" Emma"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 49.875572204589844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""vary"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_5200,0,5200,entity: A famous literary character is Emma Bovary, is,7,42.3370361328125,0.9,functional,"[{""token"": "" Emma"", ""index"": 8, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,1.0,False,,is,"[{""tk"": ""is"", ""act"": 45.590660095214844}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""vary"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_9132,0,9132,entity: A famous literary character is Emma Bovary,vary,10,40.6142578125,0.8999999999999999,semantic,"[{""token"": ""vary"", ""index"": 10, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,vary,"[{""tk"": ""vary"", ""act"": 40.6142578125}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_33882,0,33882,entity: A famous literary character is Emma Bovary, Bo,9,36.54557800292969,0.8999999999999999,functional,"[{""token"": ""vary"", ""index"": 10, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,Bo,"[{""tk"": ""Bo"", ""act"": 36.54557800292969}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""vary"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_40762,0,40762,entity: A famous literary character is Emma Bovary, Emma,8,28.2713623046875,0.9,semantic,"[{""token"": "" Emma"", ""index"": 8, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,Emma,"[{""tk"": ""Emma"", ""act"": 28.2713623046875}, {""tk"": ""Madame"", ""act"": 12.141803741455078}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""vary"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_8438,0,8438,entity: A famous literary character is Emma Bovary,vary,10,27.778430938720703,0.8999999999999999,semantic,"[{""token"": ""vary"", ""index"": 10, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,vary,"[{""tk"": ""vary"", ""act"": 29.054546356201172}, {""tk"": ""ubert"", ""act"": 25.01616668701172}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
0_83870,0,83870,entity: A famous literary character is Emma Bovary,vary,10,6.915385246276856,0.9,semantic,"[{""token"": ""vary"", ""index"": 10, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,vary,"[{""tk"": ""vary"", ""act"": 6.9153852462768555}, {""tk"": ""literary"", ""act"": 0.0}, {""tk"": ""character"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Emma"", ""act"": 0.0}, {""tk"": ""Bo"", ""act"": 0.0}, {""tk"": ""book"", ""act"": 0.0}, {""tk"": ""Madame"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""author"", ""act"": 0.0}, {""tk"": ""Gustave"", ""act"": 0.0}, {""tk"": ""Fla"", ""act"": 0.0}, {""tk"": ""ubert"", ""act"": 0.0}, {""tk"": ""person"", ""act"": 0.0}, {""tk"": ""who"", ""act"": 0.0}, {""tk"": ""wrote"", ""act"": 0.0}, {""tk"": ""called"", ""act"": 0.0}, {""tk"": ""work"", ""act"": 0.0}]"
