cond,source,variant,src_capital,tgt_capital,ablate,amplify,default,steered,src_cap_in_default,src_cap_in_steered,austin_in_steered,austin_in_steered_lc,texas_in_steered,first_token_default,first_token_default_prob,first_token_steered,first_token_steered_prob,austin_in_topk_default,austin_in_topk_steered,src_cap_in_topk_default,src_cap_in_topk_steered
human_dallas,california_oakland,add_state,Sacramento,Austin,50,6,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is","<bos><bos>Fact: The capital of the state containing Oakland is Texas is Austin.

Fact: The capital of the",True,False,True,True,True, Sacramento,0.2421875, Texas,0.1669921875,0.0,0.0,0.2421875,0.0
human_dallas,california_oakland,add_capital,Sacramento,Austin,104,0,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is","<bos><bos>Fact: The capital of the state containing Oakland is not Oakland.

Fact: The city of Oakland has",True,False,False,False,False, Sacramento,0.2421875, a,0.1162109375,0.0,0.0,0.2421875,0.0
human_dallas,california_oakland,add_city,Sacramento,Austin,70,0,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is","<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is the",True,True,False,False,False, Sacramento,0.2421875, Sacramento,0.2421875,0.0,0.0,0.2421875,0.2421875
human_dallas,california_oakland,add_state_capital,Sacramento,Austin,154,6,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is","<bos><bos>Fact: The capital of the state containing Oakland isGeografia de Oakland, California, USA.

Oakland is",True,False,False,False,False, Sacramento,0.2421875,allas,0.11181640625,0.0,0.0,0.2421875,0.0
human_dallas,california_oakland,add_state_city,Sacramento,Austin,120,6,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is","<bos><bos>Fact: The capital of the state containing Oakland is Texas is Austin.

Fact: The capital of the",True,False,True,True,True, Sacramento,0.2421875, Texas,0.16015625,0.0,0.0,0.2421875,0.0
human_dallas,california_oakland,add_capital_city,Sacramento,Austin,174,0,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is","<bos><bos>Fact: The capital of the state containing Oakland is not Oakland.

Fact: The city of Oakland has",True,False,False,False,False, Sacramento,0.2421875, a,0.12060546875,0.0,0.0,0.2421875,0.0
human_dallas,california_oakland,add_state_capital_city,Sacramento,Austin,224,6,"<bos><bos>Fact: The capital of the state containing Oakland is Sacramento.

Fact: The state of California is","<bos><bos>Fact: The capital of the state containing Oakland isGeografia de Oakland, California, USA.

Answer:",True,False,False,False,False, Sacramento,0.2421875,allas,0.1259765625,0.0,0.0,0.2421875,0.0
human_dallas,new_york_new_york_city,add_state,Albany,Austin,115,6,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York","<bos><bos>Fact: The capital of the state containing New York City isallas.

Fact: The state of New York has",True,False,False,False,False, Albany,0.5625,allas,0.216796875,0.0,0.0,0.5625,0.0
human_dallas,new_york_new_york_city,add_capital,Albany,Austin,63,0,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York","<bos><bos>Fact: The capital of the state containing New York City is a small city called Albany.

Fact: The state",True,True,False,False,False, Albany,0.5625, a,0.1611328125,0.0,0.0,0.5625,0.0
human_dallas,new_york_new_york_city,add_city,Albany,Austin,115,0,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York","<bos><bos>Fact: The capital of the state containing New York City is not Albany.

Fact: The city of New York",True,True,False,False,False, Albany,0.5625, New,0.2119140625,0.0,0.0,0.5625,0.0
human_dallas,new_york_new_york_city,add_state_capital,Albany,Austin,178,6,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York","<bos><bos>Fact: The capital of the state containing New York City isallas.

Fact: The state of New York has",True,False,False,False,False, Albany,0.5625,allas,0.287109375,0.0,0.0,0.5625,0.0
human_dallas,new_york_new_york_city,add_state_city,Albany,Austin,115,6,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York","<bos><bos>Fact: The capital of the state containing New York City isallas.

Fact: The state of New York has",True,False,False,False,False, Albany,0.5625,allas,0.216796875,0.0,0.0,0.5625,0.0
human_dallas,new_york_new_york_city,add_capital_city,Albany,Austin,178,0,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York","<bos><bos>Fact: The capital of the state containing New York City is a small city called Albany.

Fact: The state",True,True,False,False,False, Albany,0.5625, a,0.2265625,0.0,0.0,0.5625,0.0
human_dallas,new_york_new_york_city,add_state_capital_city,Albany,Austin,178,6,"<bos><bos>Fact: The capital of the state containing New York City is Albany.

Fact: The state of New York","<bos><bos>Fact: The capital of the state containing New York City isallas.

Fact: The state of New York has",True,False,False,False,False, Albany,0.5625,allas,0.287109375,0.0,0.0,0.5625,0.0
human_dallas,florida_miami,add_state,Tallahassee,Austin,59,6,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is","<bos><bos>Fact: The capital of the state containing Miami isGeografia de la Florida.

The city of Miami,",True,False,False,False,False, Tallahassee,0.40625, Texas,0.2099609375,0.0,0.0,0.40625,0.0
human_dallas,florida_miami,add_capital,Tallahassee,Austin,106,0,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is","<bos><bos>Fact: The capital of the state containing Miami is not Miami.

Fact: The city of Chicago has",True,False,False,False,False, Tallahassee,0.40625, not,0.19140625,0.0,0.0,0.40625,0.0
human_dallas,florida_miami,add_city,Tallahassee,Austin,69,0,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is","<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is the",True,True,False,False,False, Tallahassee,0.40625, Tallahassee,0.38671875,0.0,0.0,0.40625,0.38671875
human_dallas,florida_miami,add_state_capital,Tallahassee,Austin,165,6,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is","<bos><bos>Fact: The capital of the state containing Miami isallas is Tallahassee.

Fact: The state capital of",True,True,False,False,False, Tallahassee,0.40625,allas,0.1669921875,0.0,0.0,0.40625,0.0
human_dallas,florida_miami,add_state_city,Tallahassee,Austin,128,6,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is","<bos><bos>Fact: The capital of the state containing Miami isGeografia de la Florida.

The city of Miami,",True,False,False,False,False, Tallahassee,0.40625, Texas,0.2060546875,0.0,0.0,0.40625,0.0
human_dallas,florida_miami,add_capital_city,Tallahassee,Austin,175,0,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is","<bos><bos>Fact: The capital of the state containing Miami is not Miami.

Fact: The city of Chicago has",True,False,False,False,False, Tallahassee,0.40625, not,0.201171875,0.0,0.0,0.40625,0.0
human_dallas,florida_miami,add_state_capital_city,Tallahassee,Austin,234,6,"<bos><bos>Fact: The capital of the state containing Miami is Tallahassee.

Fact: The state of Florida is","<bos><bos>Fact: The capital of the state containing Miami isallas is Tallahassee.

Fact: The state capital of",True,True,False,False,False, Tallahassee,0.40625,allas,0.18359375,0.0,0.0,0.40625,0.0
human_dallas,illinois_chicago,add_state,Springfield,Austin,72,6,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is","<bos><bos>Fact: The capital of the state containing Chicago isGeografia de Illinois (Illinois)

The state of Illinois",True,False,False,False,False, Springfield,0.2412109375, Texas,0.14453125,0.0,0.0,0.2412109375,0.0
human_dallas,illinois_chicago,add_capital,Springfield,Austin,94,0,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is","<bos><bos>Fact: The capital of the state containing Chicago is not Illinois.

Fact: The city of Chicago is",True,False,False,False,False, Springfield,0.2412109375, not,0.1650390625,0.0,0.0,0.2412109375,0.0
human_dallas,illinois_chicago,add_city,Springfield,Austin,82,0,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is","<bos><bos>Fact: The capital of the state containing Chicago is Illinois.

Fact: The state of Illinois is located",True,False,False,False,False, Springfield,0.2412109375, Illinois,0.45703125,0.0,0.0,0.2412109375,0.0
human_dallas,illinois_chicago,add_state_capital,Springfield,Austin,166,6,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is","<bos><bos>Fact: The capital of the state containing Chicago isGeografia de Illinois (Illinois)

The state of Illinois",True,False,False,False,False, Springfield,0.2412109375,allas,0.10400390625,0.0,0.0,0.2412109375,0.0
human_dallas,illinois_chicago,add_state_city,Springfield,Austin,154,6,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is","<bos><bos>Fact: The capital of the state containing Chicago is Texas is Austin.

Fact: The capital of the",True,False,True,True,True, Springfield,0.2412109375, Texas,0.341796875,0.0,0.0,0.2412109375,0.0
human_dallas,illinois_chicago,add_capital_city,Springfield,Austin,176,0,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is","<bos><bos>Fact: The capital of the state containing Chicago is not Illinois.

Fact: The city of Chicago is",True,False,False,False,False, Springfield,0.2412109375, not,0.11328125,0.0,0.0,0.2412109375,0.0
human_dallas,illinois_chicago,add_state_capital_city,Springfield,Austin,248,6,"<bos><bos>Fact: The capital of the state containing Chicago is Springfield.

Fact: The state of Illinois is","<bos><bos>Fact: The capital of the state containing Chicago isallas.

Fact: The state of Illinois is the",True,False,False,False,False, Springfield,0.2412109375,allas,0.1796875,0.0,0.0,0.2412109375,0.0
human_dallas,washington_seattle,add_state,Olympia,Austin,60,6,"<bos><bos>Fact: The capital of the state containing Seattle is Olympia.

Fact: The state of Washington is","<bos><bos>Fact: The capital of the state containing Seattle isallas.

Fact: The state of Washington is the",True,False,False,False,False, Olympia,0.62109375,allas,0.11376953125,0.0,0.0,0.62109375,0.0
human_dallas,washington_seattle,add_capital,Olympia,Austin,87,0,"<bos><bos>Fact: The capital of the state containing Seattle is Olympia.

Fact: The state of Washington is",<bos><bos>Fact: The capital of the state containing Seattle is a city that has been named one of the most li,True,False,False,False,False, Olympia,0.62109375, a,0.2333984375,0.0,0.0,0.62109375,0.0
human_dallas,washington_seattle,add_city,Olympia,Austin,69,0,"<bos><bos>Fact: The capital of the state containing Seattle is Olympia.

Fact: The state of Washington is","<bos><bos>Fact: The capital of the state containing Seattle is not Seattle.

Fact: The city of Seattle has",True,False,False,False,False, Olympia,0.62109375, Washington,0.1826171875,0.0,0.0,0.62109375,0.0
human_dallas,washington_seattle,add_state_capital,Olympia,Austin,147,6,"<bos><bos>Fact: The capital of the state containing Seattle is Olympia.

Fact: The state of Washington is","<bos><bos>Fact: The capital of the state containing Seattle isallas.

Fact: The state of Washington is the",True,False,False,False,False, Olympia,0.62109375,allas,0.12158203125,0.0,0.0,0.62109375,0.0
human_dallas,washington_seattle,add_state_city,Olympia,Austin,129,6,"<bos><bos>Fact: The capital of the state containing Seattle is Olympia.

Fact: The state of Washington is","<bos><bos>Fact: The capital of the state containing Seattle isGeografia de Washington, the capital of Washington, is Olympia",True,True,False,False,False, Olympia,0.62109375, Texas,0.1064453125,0.0,0.0,0.62109375,0.0
human_dallas,washington_seattle,add_capital_city,Olympia,Austin,156,0,"<bos><bos>Fact: The capital of the state containing Seattle is Olympia.

Fact: The state of Washington is",<bos><bos>Fact: The capital of the state containing Seattle is a city that has been named one of the most li,True,False,False,False,False, Olympia,0.62109375, a,0.2265625,0.0,0.0,0.62109375,0.0
