ctx_idx,token,human_supernodes,human_n_pinned_features,our_supernodes_top10,our_n_features,concept_family_matches
1,Fact,,0,(entity) related(225)|Say (Austin)(113)|containing(73)|capital(62)|Dallas(55)|Texas(33)|of(26)|is(19)|Say (capital)(19)|The(18),215,
2,:,,0,punctuation(56)|(capital) related(1),13,
3, The,,0,The(20)|Dallas(3)|entity(2),10,
4, capital,capital(5),5,capital(17)|state(11)|(capital) related(5)|(containing) related(3)|USA(1)|city(1)|government(1),30,capital->22
5, of,,0,city(4)|(capital) related(2)|in(2)|government(2)|Texas(1)|capital(1),10,
6, the,,0,of(8)|capital(4)|which(2)|containing(2)|seat(2)|Say (city)(1)|The(1)|United(1)|city(1)|located(1),20,
7, state,state(2),2,Texas(24)|state(2)|located(2)|(attribute) related(1)|United(1)|Dallas(1)|government(1)|city(1),20,state->2
8, containing,,0,Say (Austin)(40)|is(18)|city(8)|Say (capital)(7)|Say (Texas)(6)|punctuation(5)|Texas(4)|located(2)|United(2)|government(2),85,
9, Dallas,Texas(6),6,is(15)|seat(2)|Dallas(2)|Say (Austin)(1)|Austin(1)|USA(1)|Say (capital)(1),19,Texas->0
10, is,capital cities/say a capital city(4)|preposition followed by place name(2),6,Texas(13)|is(11)|Say (Austin)(4)|located(4)|of(3)|Dallas(1)|city(1)|United(1)|seat(1)|state(1),40,capital cities/say a capital city->4|preposition followed by place name->14
11,?11,,0,Dallas(16)|is(6)|government(3)|Texas(2)|Say (Austin)(2)|Austin(1)|(capital) related(1),31,
12,?12,,0,Say (capital)(1)|Texas(1)|of(1),3,
13,?13,,0,state(1),1,
14,?14,,0,containing(19)|state(4)|(capital) related(1)|Texas(1)|(containing) related(1),26,
15,?15,,0,is(11)|Say (Austin)(10)|located(2)|Texas(1)|in(1)|containing(1)|of(1)|which(1),28,
16,?16,,0,Say (capital)(7)|located(1),8,
17,?17,,0,capital(20)|city(2)|(containing) related(1),23,
18,?18,,0,Dallas(1),1,
