feature_key,layer,feature,prompt,peak_token,peak_token_idx,activation_max,sparsity_ratio,peak_token_type,target_tokens,tokens_source,pred_label,subtype,confidence,review,why_review,supernode_name,top_activations_probe_original
0_11375,0,11375,"entity: A major city in North Carolina, USA is Charlotte", is,11,34.01102066040039,0.9166666666666669,functional,"[{""token"": "" Charlotte"", ""index"": 12, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,0.8333333333333334,False,,is,"[{""tk"": ""is"", ""act"": 34.90431594848633}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""major"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""North"", ""act"": 0.0}, {""tk"": ""Carolina"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Charlotte"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Raleigh"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""as"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_16200,0,16200,"entity: A major city in North Carolina, USA is Charlotte",:,2,26.879940032958984,0.9166666666666666,functional,"[{""token"": "" major"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""major"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""North"", ""act"": 0.0}, {""tk"": ""Carolina"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Charlotte"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Raleigh"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""as"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_9026,0,9026,"entity: A major city in North Carolina, USA is Charlotte", major,4,14.459592819213867,0.7343460095894234,semantic,"[{""token"": "" major"", ""index"": 4, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,city,"[{""tk"": ""city"", ""act"": 16.50463104248047}, {""tk"": ""seat"", ""act"": 14.502348899841309}, {""tk"": ""major"", ""act"": 14.459592819213867}, {""tk"": ""Raleigh"", ""act"": 14.31321907043457}, {""tk"": ""government"", ""act"": 12.53738784790039}, {""tk"": ""serving"", ""act"": 11.37537670135498}, {""tk"": ""located"", ""act"": 11.127981185913086}, {""tk"": ""state"", ""act"": 10.986678123474121}, {""tk"": ""primary"", ""act"": 10.02235221862793}, {""tk"": ""attribute"", ""act"": 9.0413818359375}, {""tk"": ""entity"", ""act"": 8.996347427368164}, {""tk"": ""capital"", ""act"": 8.980076789855957}, {""tk"": ""relationship"", ""act"": 8.372295379638672}, {""tk"": ""containing"", ""act"": 8.116277694702148}, {""tk"": ""which"", ""act"": 7.308052062988281}, {""tk"": ""United"", ""act"": 4.469465732574463}, {""tk"": ""Charlotte"", ""act"": 3.8698477745056152}, {""tk"": ""North"", ""act"": 3.667571783065796}, {""tk"": ""USA"", ""act"": 2.381251335144043}, {""tk"": ""States"", ""act"": 2.242788314819336}, {""tk"": ""The"", ""act"": 1.3484368324279785}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""Carolina"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""as"", ""act"": 0.0}]"
0_10935,0,10935,"entity: A major city in North Carolina, USA is Charlotte",:,2,9.568685531616213,0.9166666666666666,functional,"[{""token"": "" major"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""major"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""North"", ""act"": 0.0}, {""tk"": ""Carolina"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Charlotte"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Raleigh"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""as"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_10754,0,10754,"entity: A major city in North Carolina, USA is Charlotte", city,5,9.559152603149414,0.9166666666666666,semantic,"[{""token"": "" city"", ""index"": 5, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,state,"[{""tk"": ""state"", ""act"": 16.474824905395508}, {""tk"": ""city"", ""act"": 10.986642837524414}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""major"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""North"", ""act"": 0.0}, {""tk"": ""Carolina"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Charlotte"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Raleigh"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""as"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_12958,0,12958,"entity: A major city in North Carolina, USA is Charlotte",:,2,9.156593322753906,0.9166666666666666,functional,"[{""token"": "" major"", ""index"": 4, ""distance"": 2, ""direction"": ""forward""}, {""token"": ""entity"", ""index"": 1, ""distance"": 1, ""direction"": ""backward""}]",json,Semantic,Dictionary (fallback),0.9,False,,punctuation,"[{""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""major"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""North"", ""act"": 0.0}, {""tk"": ""Carolina"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Charlotte"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Raleigh"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""as"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_2115,0,2115,"entity: A major city in North Carolina, USA is Charlotte", Carolina,8,9.087158203125,0.5257060446387792,semantic,"[{""token"": "" Carolina"", ""index"": 8, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,capital,"[{""tk"": ""capital"", ""act"": 11.241384506225586}, {""tk"": ""relationship"", ""act"": 9.909316062927246}, {""tk"": ""Carolina"", ""act"": 9.681816101074219}, {""tk"": ""USA"", ""act"": 8.150459289550781}, {""tk"": ""major"", ""act"": 7.766632080078125}, {""tk"": ""Charlotte"", ""act"": 6.582280158996582}, {""tk"": ""A"", ""act"": 6.157827854156494}, {""tk"": ""state"", ""act"": 6.143850326538086}, {""tk"": ""North"", ""act"": 5.812160491943359}, {""tk"": ""city"", ""act"": 5.62747859954834}, {""tk"": ""attribute"", ""act"": 5.597062587738037}, {""tk"": ""United"", ""act"": 5.102910995483398}, {""tk"": ""containing"", ""act"": 5.083528518676758}, {""tk"": ""States"", ""act"": 4.372891426086426}, {""tk"": ""located"", ""act"": 4.209847927093506}, {""tk"": ""seat"", ""act"": 4.078704833984375}, {""tk"": ""Raleigh"", ""act"": 2.8895163536071777}, {""tk"": ""primary"", ""act"": 2.758937358856201}, {""tk"": ""The"", ""act"": 2.3434438705444336}, {""tk"": ""is"", ""act"": 2.218433380126953}, {""tk"": ""entity"", ""act"": 1.998854160308838}, {""tk"": ""government"", ""act"": 1.9311035871505737}, {""tk"": ""serving"", ""act"": 1.761301040649414}, {""tk"": ""as"", ""act"": 1.143741250038147}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}]"
0_10317,0,10317,"entity: A major city in North Carolina, USA is Charlotte",entity,1,9.05217170715332,0.9166666666666666,semantic,"[{""token"": ""entity"", ""index"": 1, ""distance"": 0, ""direction"": ""self""}]",n/a,Semantic,Dictionary (fallback),0.9,False,,entity,"[{""tk"": ""entity"", ""act"": 9.05217170715332}, {""tk"": ""attribute"", ""act"": 6.16361665725708}, {""tk"": ""relationship"", ""act"": 5.5626444816589355}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""major"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""North"", ""act"": 0.0}, {""tk"": ""Carolina"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Charlotte"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Raleigh"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""as"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_2841,0,2841,"entity: A major city in North Carolina, USA is Charlotte", is,11,8.145866394042969,0.9166666666666666,functional,"[{""token"": "" Charlotte"", ""index"": 12, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary,0.8333333333333334,False,,is,"[{""tk"": ""is"", ""act"": 8.145866394042969}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""A"", ""act"": 0.0}, {""tk"": ""major"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""North"", ""act"": 0.0}, {""tk"": ""Carolina"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""Charlotte"", ""act"": 0.0}, {""tk"": ""The"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Raleigh"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""as"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
0_14691,0,14691,"entity: A major city in North Carolina, USA is Charlotte", A,3,7.904144287109375,0.9166666666666666,functional,"[{""token"": "" major"", ""index"": 4, ""distance"": 1, ""direction"": ""forward""}]",json,Semantic,Dictionary (fallback),0.9,False,,The,"[{""tk"": ""The"", ""act"": 8.335857391357422}, {""tk"": ""A"", ""act"": 7.904144287109375}, {""tk"": ""entity"", ""act"": 0.0}, {""tk"": ""major"", ""act"": 0.0}, {""tk"": ""city"", ""act"": 0.0}, {""tk"": ""in"", ""act"": 0.0}, {""tk"": ""North"", ""act"": 0.0}, {""tk"": ""Carolina"", ""act"": 0.0}, {""tk"": ""USA"", ""act"": 0.0}, {""tk"": ""is"", ""act"": 0.0}, {""tk"": ""Charlotte"", ""act"": 0.0}, {""tk"": ""capital"", ""act"": 0.0}, {""tk"": ""of"", ""act"": 0.0}, {""tk"": ""Raleigh"", ""act"": 0.0}, {""tk"": ""state"", ""act"": 0.0}, {""tk"": ""United"", ""act"": 0.0}, {""tk"": ""States"", ""act"": 0.0}, {""tk"": ""attribute"", ""act"": 0.0}, {""tk"": ""primary"", ""act"": 0.0}, {""tk"": ""serving"", ""act"": 0.0}, {""tk"": ""as"", ""act"": 0.0}, {""tk"": ""seat"", ""act"": 0.0}, {""tk"": ""government"", ""act"": 0.0}, {""tk"": ""relationship"", ""act"": 0.0}, {""tk"": ""which"", ""act"": 0.0}, {""tk"": ""located"", ""act"": 0.0}, {""tk"": ""containing"", ""act"": 0.0}]"
